Location,Status
Croquet-garden,Cheshire-Cat observes the game of croquet with interest.
Mad Tea-Party,Cheshire-Cat engages in a whimsical conversation with the Mad Hatter.
Cheshire-Cat's tree,Cheshire-Cat teases Alice with riddles and enigmatic remarks.
Queen's Courtroom,Cheshire-Cat grins mischievously as chaos ensues during the Knave of Hearts' trial.
Rabbit's small house,"Cheshire-Cat disappears and reappears, causing confusion and amusement."
Enchanted garden,Cheshire-Cat plays tricks on the card gardeners with his disappearing grin.
Wonderland Forest,Cheshire-Cat guides Alice through the forest with his cryptic advice.
White Rabbit's house chimney,Cheshire-Cat comments on Alice's predicament with a sly grin.
Duchess' jail cell,Cheshire-Cat offers Alice advice on how to navigate the situation with the Duchess.
Croquet-garden,"Cheshire-Cat vanishes leaving only his grin behind, confusing the other characters."
Queen's Courtroom,Cheshire-Cat's disappearing act causes a stir during the Knave of Hearts' trial.
Tea Party location,Cheshire-Cat joins in the absurd conversations at the Mad Tea-Party.
Card-soldier's territory,Cheshire-Cat taunts the Queen's soldiers with his mysterious grin.
Mushroom field,"Cheshire-Cat lounges lazily on a mushroom, observing the chaos in Wonderland."
Enchanted garden,Cheshire-Cat counsels the card gardeners on their next move in the garden.
Croquet field,"Cheshire-Cat transforms into a magnificent beast, surprising everyone at the game."
White Rabbit's house,Cheshire-Cat watches with amusement as Alice struggles with her changing size.
Queen's Throne Room,Cheshire-Cat's grin widens as Alice stands up to the Queen during the trial.
Cheshire-Cat's tree,Cheshire-Cat offers Alice cryptic advice on how to navigate Wonderland's madness.
Croquet field,"Cheshire-Cat disappears and reappears at strategic moments, causing confusion among the players."
Croquet-garden,Observing the violent regime of Wonderland
Mad Tea-Party,Giving evidence at the Knave of Hearts' trial
Duchess' cook's trial,Providing testimony in the chaotic courtroom
Queen's court,In a debate about the lack of rules and justice
White Rabbit's trial,Questioning the validity of evidence presented
Garden,Commenting on the nature of Wonderland's creatures
Enchanted garden,Discussing the frustration of tiny creatures
Rabbit's small house,Watching Alice struggle with her size
House chimney,Assisting in Alice's eviction
Flower pot,Hiding from execution in a clever escape
Wonderland's landscape,Mocking the hierarchical structure of the Queendom
Queendom,Having a conversation with the White Rabbit about inherent danger
Underworld,Participating in a whispered conversation with Alice
Execution scene,Witnessing the lack of adherence to real-world semantics
Mock trial,Challenging the Queen's unjust sentencing
Verdict announcement,Defying the Queen's authority and growing in size
Pack of cards,Rebelling against the Queen's rule with defiance
Cakes transformation,Observing Alice's transformation from large to small
Peasant revolt,Joining the creatures in attacking Alice
Conclusion,Reflecting on the absurdity of Wonderland's laws
Croquet garden,Observing the chaos
Mad Tea-Party,Engaging in witty banter
Jail cell with the Duchess,Plotting an escape
Courtroom during the trial,Mocking the proceedings
With the Queen of Hearts,Daring to challenge her authority
In the enchanted garden,Playing tricks on the card-gardeners
Discussing Wonderland politics with the White Rabbit,Cynical
Escaping from the Queen's guards,Gloating
Participating in a riddle contest,Confounding everyone with clever wordplay
Flying above the chaos on a magic carpet,Spectator
In a secret meeting with the Gryphon,Conspiring
Giving cryptic advice to Alice,Mysterious
Leading a rebellion against the Queen,Revolutionary
Conversing with the Mock Turtle,Philosophical
Confronting the King of Hearts,Defiant
In the caterpillar's mushroom forest,Contemplating life's absurdities
Playing chess with the Mad Hatter,Strategizing
In the Queen's rose garden,Causing mischief
Telling riddles to the March Hare,Amusing himself
Guiding Alice through a maze of illusions,Mysterious
